claim,headline,question,parts,label,part
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,قارچ قاتل,0,0.0,Unrelated,
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,تعداد فوتی‌های مسمومیت قارچ‌های خودرو به ۶ نفر رسید/ نیاز ۲۳ مسموم به پیوند کبد/مردم از مصرف قارچ‌های طبیعی خودداری کنند,0,0.0,Agree,
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,هموطن هر قارچی را نباید خورد / ٩ استان کشور درگیر قارچ‌های سمی,0,0.0,Discuss,
مسمومیت زا بودن شدید قارچهای خودرو (وحشی) مشابه قارچهای موجود در بازار !,درمان فوری مسمومیت با این موادغذایی/ شنبليله و زنجبيل را دست كم نگيريد,0,0.0,Unrelated,
 ماشین BMW i8 2016 پسر علی لاریجانی️ !,جنجال خودروی منتسب به فرزند رئیس مجلس,0,0.0,Discuss,
 ماشین BMW i8 2016 پسر علی لاریجانی️ !, خودرویی که به فرزند رئیس مجلس منتصب شد جنجال به پا کرد + عکس خودرو و توضیحات صاحب خودرو,0,0.0,Discuss,
 ماشین BMW i8 2016 پسر علی لاریجانی️ !,شرکت BMW خودروهایی با طلای ۲۴ عیار ساخته است,0,0.0,Unrelated,
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,ماجرای دریافت 250 میلیونی برانکو برای تبلیغ کالای ایرانی!,0,0.0,Discuss,
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,‏گران‌ترین آگهی اینستاگرام در ایران برای تبلیغ ‎کالای ایرانی به ‎برانکو تعلق گرفت +سند,0,0.0,Agree,
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,سندی که نشان می‌دهد وزارت ورزش به برانکو ۲۵۰ میلیون تومان برای تبلیغ کالای ایرانی پرداخت کرده است + عکس,0,0.0,Agree,
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,تکذیب پرداخت 250 میلیون تومان به برانکو از سوی وزارت ورزش+عکس,0,0.0,Discuss,
سند واگذاری 250 میلیون تومان به برانکو جهت حمایت از کالای ایرانی !,نمایش یک زن 7 هزار ساله در تهران + فیلم,0,0.0,Unrelated,
