[2021-09-24 14:34:37,799][root][INFO] - hazm tokenizer
[2021-09-24 14:34:40,728][filelock][INFO] - Lock 139746762384592 acquired on /root/.cache/huggingface/transformers/61bca389b9baa0ca73767d1dd57e9abae0d81a8a76a95d8cdbe07545b3c184c6.95f939aa896ef19ec0de6747f100546059db5fa92d19e30e11a6843a873d485e.lock
[2021-09-24 14:34:41,074][filelock][INFO] - Lock 139746762384592 released on /root/.cache/huggingface/transformers/61bca389b9baa0ca73767d1dd57e9abae0d81a8a76a95d8cdbe07545b3c184c6.95f939aa896ef19ec0de6747f100546059db5fa92d19e30e11a6843a873d485e.lock
[2021-09-24 14:34:41,419][filelock][INFO] - Lock 139746780166096 acquired on /root/.cache/huggingface/transformers/ebbebc494c10c1e64b5d44bd3efa119a3c69517475f8563f2feada71b6f158ca.6c93a85d53185a3946f23adaa5173b6c20ced4bdbf5b069215d9f50c10d41834.lock
[2021-09-24 14:34:41,763][filelock][INFO] - Lock 139746780166096 released on /root/.cache/huggingface/transformers/ebbebc494c10c1e64b5d44bd3efa119a3c69517475f8563f2feada71b6f158ca.6c93a85d53185a3946f23adaa5173b6c20ced4bdbf5b069215d9f50c10d41834.lock
[2021-09-24 14:34:42,455][filelock][INFO] - Lock 139746780218832 acquired on /root/.cache/huggingface/transformers/b525635172cccf1986a76f1c1cbabaecb0aa8768e842159ae55affc76f59f570.d998083122643312c83ef4329b4631782a875c6ee59927666f3a972d118e6c56.lock
[2021-09-24 14:34:43,458][filelock][INFO] - Lock 139746780218832 released on /root/.cache/huggingface/transformers/b525635172cccf1986a76f1c1cbabaecb0aa8768e842159ae55affc76f59f570.d998083122643312c83ef4329b4631782a875c6ee59927666f3a972d118e6c56.lock
[2021-09-24 14:34:43,820][filelock][INFO] - Lock 139746780242960 acquired on /root/.cache/huggingface/transformers/74dee95fcc4d4ae2d42cf6961c6c00918700f8fa8c84cd735733d4684a2e9862.be961fb8b21d67dbb8485194ab3ba872cca87271b562bf02a994d188607ca243.lock
[2021-09-24 14:34:44,847][filelock][INFO] - Lock 139746780242960 released on /root/.cache/huggingface/transformers/74dee95fcc4d4ae2d42cf6961c6c00918700f8fa8c84cd735733d4684a2e9862.be961fb8b21d67dbb8485194ab3ba872cca87271b562bf02a994d188607ca243.lock
[2021-09-24 14:34:45,551][filelock][INFO] - Lock 139746780243408 acquired on /root/.cache/huggingface/transformers/8ca3b55e85e2adc0fbefe2fe0b751627b4812e84165f5c8bab4cc080a3ad9044.923ec3af02797bf352e5d19ea7c70e2afaa87ef38bcdc8088cbe93a9bf2ba9ab.lock
[2021-09-24 14:34:45,893][filelock][INFO] - Lock 139746780243408 released on /root/.cache/huggingface/transformers/8ca3b55e85e2adc0fbefe2fe0b751627b4812e84165f5c8bab4cc080a3ad9044.923ec3af02797bf352e5d19ea7c70e2afaa87ef38bcdc8088cbe93a9bf2ba9ab.lock
